eventid,year,month,day,country_txt,region_txt,provstate,city,latitude,longitude,location,summary,alternative,alternative_txt,success,suicide,attacktype1_txt,attacktype2,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2,natlty2_txt,guncertain3,individual,nperps,weaptype1_txt
2,1970,1,19,United States,North America,New Jersey,Jersey City,40.717892,-74.067467,Front of building,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",,,1,0,Facility/Infrastructure Attack,2,Violent Political Party,Party Office/Facility,Black Panther Party,Headquarters,United States,White extremists,,Intimidate the Black Panther Party.,Incendiary,18,Arson/Fire,Gasoline was placed on the steps of the building and set on fire.  Between 10-30 shots were fired.
3,1970,1,25,United States,North America,Mississippi,West Point,33.60651,-88.650419,,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",2,Other Crime Type,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Race/Ethnicity Identified,Building,Building used as a meeting place for African Americans.,United States,White extremists,,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,Incendiary,18,Arson/Fire,
4,1970,1,28,United States,North America,Washington,Seattle,47.610786,-122.331306,Front of building,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",2,Other Crime Type,1,0,Bombing/Explosion,,Religious Figures/Institutions,Place of Worship,Jewish Synagogue,Temple De Hirsch,United States,White extremists,,,Explosives,16,Unknown Explosive Type,
5,1970,2,6,United States,North America,Washington,Seattle,47.610786,-122.331306,Central District,"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States.  There were no casualties, but the house sustained major damages.  Dore was a White sympathizer of African American causes.",,,1,0,Bombing/Explosion,,Government (General),Politician or Political Party Movement/Meeting/Rally,White politician who represented a Black constituency,Fred Dore,United States,White extremists,,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,Explosives,28,Dynamite/TNT,Dynamite
6,1970,2,6,United States,North America,Washington,Seattle,47.610786,-122.331306,,"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States.  There were no casualties but the building as well as surrounding residences sustained minor damage.   During this time period, there were numerous bombings in the Seattle area.",2,Other Crime Type,1,0,Bombing/Explosion,,Religious Figures/Institutions,Place of Worship,Jewish Synagogue,,United States,White extremists,,,Explosives,28,Dynamite/TNT,Dynamite
7,1970,2,17,United States,North America,Louisiana,Covington,30.493919,-90.132512,Men's Restroom,"2/17/1970: Unknown perpetrators detonated a bomb at Covington High School in Louisiana, United States.  There were no casualties but the building sustained minor damages.  The bombing took place six months before the school was integrated.",,,1,0,Bombing/Explosion,,Educational Institution,School/University/Educational Building,School planned to be integrated,Covington High School,United States,White extremists,,Suspected motive was to protest school integration.,Explosives,16,Unknown Explosive Type,
8,1970,2,22,United States,North America,New York,Ithaca,42.455233,-76.475847,Cornell University,"2/22/1970: Unknown perpetrators threw kerosene flare pots at the Wari House Dormitory which housed the Black Women's Cooperative at Cornell University in Ithaca, New York, United States.  The incendiary tossed at the dormitory failed to ignite, but an incendiary thrown through the window of a car parked in front of the dormitory burst into flames and caused minor damages to the vehicle.  There were no casualties.",,,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,"Black Women's Collective, Cornell University",Dormitory housing Black Women's Collective,United States,White extremists,,To intimidate the African American community at Cornell University,Incendiary,20,Gasoline or Alcohol,Kerosene flare pots
9,1970,2,24,United States,North America,Colorado,Denver,39.758968,-104.876305,Porch in front of house,"2/24/1970: Unknown perpetrators detonated a pipe bomb in front of the house of Wilfred Keyes in Denver, Colorado, United States.  There were no casualties, however, the front porch was destroyed and many windows were shattered.  Keyes was the lead plaintiff in a court case calling for the desegregation of Denver City Schools.",,,1,0,Bombing/Explosion,,Private Citizens & Property,Named Civilian,,Wilfred Keyes,United States,White extremists,,Protest the desegregation of Denver City Schools.,Explosives,28,Dynamite/TNT,Dynamite Pipe Bomb
10,1970,3,9,United States,North America,Alabama,Ashville,33.83651,-86.254749,,,,,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Religion Identified,,Black Muslims,United States,Ku Klux Klan,,,Chemical,1,Poisoning,Cyanide in water supply
11,1970,3,9,United States,North America,Connecticut,Bridgeport,41.18188,-73.191269,,"3/9/1970: Unknown perpetrators firebombed Shiloh Baptist Church, a predominantly African American Church, in Bridgeport, Connecticut, United States.  There were no casualties but the building sustained minor damages.",2,Other Crime Type,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,African American Church,Shiloh Baptist Church,United States,White extremists,,,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb
12,1970,3,9,United States,North America,New Mexico,Albuquerque,35.084319,-106.619781,,"3/9/1970: Unknown perpetrators placed an incendiary bomb underneath the Air Force R.O.T.C. building at the University of New Mexico in Albuquerque, New Mexico, United States.  The bomb was discovered and disarmed fifteen minutes before it was set to explode.",,,0,0,Bombing/Explosion,,Military,Military Recruiting Station/Academy,R.O.T.C.,Air Force R.O.T.C. at University of New Mexico,United States,White extremists,,Protest the R.O.T.C. program and Vietnam War,Explosives,14,Time Fuse,Homemade incendiary time bomb
13,1970,3,16,United States,North America,California,San Bernardino,34.105245,-117.294124,"Living room, outside of house","3/16/1970: Unknown perpetrators threw four firebombs at the house of Councilman Norris Gregory in San Bernardino, California, United States.  He received minor burns attempting to put out the fire and the house sustained an estimated $4,000 in damages.  Gregory was the first and only Black councilman in San Bernadino at the time.",,,1,0,Facility/Infrastructure Attack,,Government (General),Politician or Political Party Movement/Meeting/Rally,Black San Bernardino Councilman,Norris Gregory,United States,White extremists,,To protest African Americans sitting on the San Bernardino city council,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebombs
14,1970,3,20,United States,North America,Oregon,Portland,45.511795,-122.675629,Near Trucks,"3/20/1970: Unknown perpetrators placed two firebombs at the United States Army Reserve Training Center in Portland, Oregon, United States.  One bomb ignited but burnt out before causing any damage and the other bomb was found and dismantled.",,,0,0,Bombing/Explosion,,Military,Military Recruiting Station/Academy,US Military,United States Army Reserve Training Center in Portland Oregon,United States,White extremists,,Protest the Vietnam War and sabotage the US Army,Incendiary,19,Molotov Cocktail/Petrol Bomb,Two firebombs
15,1970,3,20,United States,North America,Michigan,Detroit,42.331685,-83.047924,In front of his car,"3/20/1970: Unknown perpetrators shot and killed Burton I. Gordin, the director of the Michigan Civil Rights Commission, in a downtown garage in Detroit, Michigan, United States.  Police suspected that this incident might have been politically motivated as no money was stolen from Gordin's wallet.",2,Other Crime Type,1,0,Assassination,,Private Citizens & Property,Named Civilian,Michigan Civil Rights Commission,Burton I. Gordin,United States,White extremists,,To protest the civil rights movement,Firearms,5,Unknown Gun Type,Three shots fired
16,1970,3,24,United States,North America,Ohio,Cleveland,41.479561,-81.675461,At the pedestal of The Thinker statue.,"3/24/1970: Unknown perpetrators detonated a pipe bomb at Auguste Rodin's Thinker statue that was located in front of the Cleveland Museum of Art in Ohio, United States.  There were no casualties, however, the statue was irrevocably damaged.",,,1,0,Bombing/Explosion,,Private Citizens & Property,Museum/Cultural Center/Cultural House,Cleveland Museum of Art,The Thinker statue,United States,White extremists,,Suspected motive was to protest the Vietnam War.,Explosives,31,Pipe Bomb,Pipe bomb consisting of the equivalent of three sticks of dynamite
17,1970,4,1,United States,North America,New York,Ithaca,42.455233,-76.475847,Cornell University,"4/1/1970: Unknown perpetrators started a fire at the building that houses the Africana Studies and Research Center at Cornell University in Ithaca, New York, United States.  There were no casualties but the building sustained an estimated $100,000 in damages.",,,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,"Africana Studies and Research Center, Cornell University",Building housing Africana Studies and Research Center,United States,White extremists,,To intimidate the African American community at Cornell University,Incendiary,18,Arson/Fire,
18,1970,4,19,United States,North America,Washington,Seattle,47.610786,-122.331306,Capital Hill Area,"4/19/1970: In a simultaneous bombing campaign, suspected White Racists detonated an explosive device at the Japanese Presbyterian Church in Seattle, Washington, United States.  There were no casualties and the church sustained $2,000 in damages.",,,1,0,Bombing/Explosion,,Religious Figures/Institutions,Place of Worship,Church,Japanese Presbyterian Church,United States,White extremists,,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,Explosives,16,Unknown Explosive Type,All four bombs went off in a span of 90 minutes.
19,1970,4,19,United States,North America,Washington,Seattle,47.610786,-122.331306,Capital Hill Area,"4/19/1970: In a simultaneous bombing campaign, suspected White Racists detonated an explosive device at Hard Castle Realty, a real estate office that employed African Americans in Seattle, Washington, United States.  There were no casualties and the office sustained $4,000 in damages.",,,1,0,Bombing/Explosion,,Business,,Realty office that employed African Americans,Hardcastle Realty,United States,White extremists,,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,Explosives,16,Unknown Explosive Type,All four bombs went off in a span of 90 minutes.
20,1970,4,19,United States,North America,Washington,Seattle,47.610786,-122.331306,Capital Hill Area,"4/19/1970: In a simultaneous bombing campaign, suspected White Racists detonated an explosive device at a restaurant that was constructed by African Americans in Seattle, Washington, United States.  There were no casualties and the restaurant sustained around $2,000 in damages.",,,1,0,Bombing/Explosion,,Business,Restaurant/Bar/Café,Restaurant constructed by African Americans,Drive-in Hamburger Restaurant,United States,White extremists,,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,Explosives,16,Unknown Explosive Type,All four bombs went off in a span of 90 minutes.
21,1970,4,19,United States,North America,Washington,Seattle,47.610786,-122.331306,Capital Hill Area,"4/19/1970: In a simultaneous bombing campaign, suspected White Racists detonated an explosive device at the house of State Legislator David G. Sprague in Seattle, Washington, United States.  There were no casualties and the house sustained $1,000 in damages.",,,1,0,Bombing/Explosion,,Government (General),Politician or Political Party Movement/Meeting/Rally,White politician who represents a Black constituency,David G. Sprague,United States,White extremists,,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,Explosives,16,Unknown Explosive Type,All four bombs went off in a span of 90 minutes.
22,1970,5,12,United States,North America,Texas,Houston,29.813822,-95.365295,KPFT Radio Transmitter,"5/12/1970: A splinter group of the Ku Klux Klan claimed credit for blowing up a transmitter of the radio station KPFT in Houston, Texas, United States.  KPFT radio gave a platform for people with Communist views.  There were no casualties but the station was knocked of the air.",,,1,0,Bombing/Explosion,,Telecommunication,Radio,KPFT - FM,KPFT transmitter,United States,Ku Klux Klan,,Intimidating/preventing KFPT from allowing Communists a network to share their views.,Explosives,28,Dynamite/TNT,Dynamite
23,1970,6,25,United States,North America,Texas,Longview,32.50064,-94.741075,,"6/25/1970: Fred Loyd Hayes bombed a house purchased by an African American woman in a White neighborhood in Longview, Texas, United States.  There were no casualties and it is unknown what damages the house sustained.",,,1,0,Bombing/Explosion,,Private Citizens & Property,Race/Ethnicity Identified,African American owned house in a white neighborhood in Longview Texas,,United States,White extremists,,To protest African Americans from moving into  a white neighborhood in Longview Texas,Explosives,28,Dynamite/TNT,Dynamite
